sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.2861;3.5961;9.268;0.167;3.5694;9.1325;0.1191;0.0267;0.1355;-0.1381;0.1047;-0.0461;21.89;-8.45;-15.09;260.34;-24.75;-6.51;2.0;56.202;19.519651;-96.91556;4323.87;6.52;80.64516;5 / 5;91.0;72.0;3.867;81;2014-11-08 13:37:33:403
-0.2167;3.3555;9.3338;-0.1577;3.3857;9.2023;-0.059;-0.0302;0.1315;-0.0122;-0.0581;-0.0105;23.8;-7.61;-14.06;264.01;-20.52;0.57;2.0;47.524;19.519672;-96.915565;4324.19;0.45;80.64516;4 / 5;91.0;72.0;3.867;670;2014-11-08 13:37:33:992
-0.5578;3.9229;8.9064;0.0448;3.9935;8.9566;-0.022;-0.656;-0.3207;0.0507;-0.193;-0.447;21.85;-3.82;-16.02;277.27;-24.03;-0.29;2.0;59.197;19.519672;-96.915565;4324.19;0.45;80.64516;4 / 5;91.0;72.0;3.867;1215;2014-11-08 13:37:34:537
-0.8212;4.0893;8.8705;-0.7034;4.2456;8.8119;-0.1695;-0.3937;-0.1473;-0.122;0.1415;0.1632;24.29;-5.3;-13.21;276.51;-27.52;5.39;2.0;57.747;19.5197;-96.91557;4323.23;3.15;80.64516;4 / 5;91.0;72.0;3.867;1721;2014-11-08 13:37:35:043
-0.3005;3.3938;9.3039;-0.0245;3.2996;9.2349;-0.2759;0.0942;0.069;0.0293;-0.1652;-0.0195;23.05;-5.27;-14.56;270.9;-19.66;0.15;2.0;55.844;19.5197;-96.91557;4323.23;3.15;80.64516;4 / 5;91.0;72.0;3.867;2296;2014-11-08 13:37:35:618
-0.158;3.8475;9.1243;-0.1503;3.7381;9.065;-0.0077;0.1094;0.0593;0.061;-0.0705;-0.0161;22.96;-6.11;-14.34;269.83;-22.41;0.95;2.0;53.549;19.519735;-96.91558;4328.71;5.85;80.64516;4 / 5;91.0;72.0;3.867;2942;2014-11-08 13:37:36:264
-0.9421;5.5917;8.2133;-0.7187;5.3203;8.2066;-0.2234;0.2713;0.0067;0.1249;0.0468;-0.02;24.83;-8.83;-10.87;268.97;-32.86;5.01;2.0;52.753;19.51976;-96.91559;4333.55;5.18;80.64516;4 / 5;91.0;72.0;3.867;3503;2014-11-08 13:37:36:825
-2.8934;2.715;7.416;-1.7671;4.5871;8.4857;-1.1263;-1.8721;-1.0696;-0.5153;0.2862;-0.92;27.17;-7.76;-10.01;269.46;-32.82;5.7;2.0;54.38;19.51976;-96.91559;4333.55;5.18;80.64516;4 / 5;91.0;72.0;3.867;4063;2014-11-08 13:37:37:385
-0.9732;6.4943;7.1982;0.3419;6.2939;7.5127;-1.3151;0.2004;-0.3145;1.4214;0.3103;0.2496;15.93;-24.34;-0.71;221.32;-39.93;-2.61;2.0;60.25;19.519789;-96.91559;4333.55;5.18;80.64516;4 / 5;92.8;72.0;3.902;4617;2014-11-08 13:37:37:939
3.8343;6.7828;7.4843;1.4012;6.8171;6.909;2.4331;-0.0343;0.5753;-0.7988;2.0982;0.1749;-15.85;-29.05;2.31;152.27;-39.48;-9.57;2.0;50.211;19.519789;-96.91559;4333.55;5.18;80.64516;4 / 5;92.8;72.0;3.902;5159;2014-11-08 13:37:38:481
1.4365;9.4379;2.9161;2.0727;9.0808;3.0682;-0.6361;0.3572;-0.1521;2.3822;-1.4649;-1.1609;-15.03;-26.8;18.83;126.39;-67.82;-34.04;2.0;60.366;19.519808;-96.91558;4332.26;4.73;80.64516;4 / 5;92.8;72.0;3.902;5698;2014-11-08 13:37:39:020
0.3124;4.938;-7.8949;2.1677;7.124;-6.3812;-1.8553;-2.186;-1.5137;1.5117;-1.4148;0.3567;-5.49;-8.32;38.31;37.05;-58.63;-143.65;2.0;49.334;19.519808;-96.91558;4332.26;4.73;80.64516;4 / 5;92.8;72.0;3.902;6261;2014-11-08 13:37:39:583
-0.832;2.9796;-8.9974;0.6081;4.1666;-8.8566;-1.4401;-1.187;-0.1408;0.5167;-0.7824;0.0354;14.0;5.79;37.2;41.39;-35.99;-163.9;2.0;57.748;19.51982;-96.91557;4337.42;4.05;80.64516;4 / 5;92.8;72.0;3.902;6816;2014-11-08 13:37:40:138
-0.3232;2.733;-8.7484;-0.1581;3.4388;-9.1826;-0.1651;-0.7058;0.4342;-0.3782;-0.0778;0.6221;17.05;11.81;34.15;37.07;-18.2;179.45;2.0;71.064;19.519863;-96.915565;4350.0;3.15;80.64516;4 / 5;92.8;72.0;3.902;7367;2014-11-08 13:37:40:689
